# HDT throughput run started 2026-09-18T15:54:42+02:00
# config: virtual_file_size_mb=50 conn_interval_units=80 packet_size_bytes=506 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms,connection_interval_ms,packet_size_bytes
2026-09-19T02:53:24+02:00,HDT3,50,2156,2097,200063,100,506
2026-09-19T02:58:05+02:00,HDT2,50,1513,1506,278500,100,506
2026-09-19T03:00:10+02:00,HDT7.5,50,2510,3421,122843,100,506
2026-09-19T03:02:17+02:00,HDT6,50,3380,3349,125313,100,506
2026-09-19T03:05:03+02:00,HDT4,50,2591,2565,163563,100,506
2026-09-19T03:08:25+02:00,HDT3,50,2124,2098,199953,100,506
2026-09-19T03:13:07+02:00,HDT2,50,1545,1501,279641,100,506
2026-09-19T03:15:13+02:00,HDT7.5,50,2993,3382,124328,100,506
2026-09-19T03:17:20+02:00,HDT6,50,3380,3346,125500,100,506
2026-09-19T03:20:05+02:00,HDT4,50,2591,2576,162953,100,506
2026-09-19T03:23:27+02:00,HDT3,50,2124,2104,199454,100,506
2026-09-19T03:28:08+02:00,HDT2,50,1545,1504,278953,100,506
2026-09-19T03:30:12+02:00,HDT7.5,50,3766,3438,122031,100,506
2026-09-19T03:32:19+02:00,HDT6,50,3460,3380,124234,100,506
2026-09-19T03:35:04+02:00,HDT4,50,2639,2574,163125,100,506
2026-09-19T03:38:26+02:00,HDT3,50,2108,2092,200469,100,506
2026-09-19T03:43:07+02:00,HDT2,50,1062,1507,278594,100,506
2026-09-19T03:45:13+02:00,HDT7.5,50,3830,3394,123719,100,506
2026-09-19T03:47:21+02:00,HDT6,50,3396,3332,126000,100,506
2026-09-19T03:50:07+02:00,HDT4,50,2639,2571,163203,100,506
2026-09-19T03:53:28+02:00,HDT3,50,2108,2104,199453,100,506
2026-09-19T03:58:10+02:00,HDT2,50,1513,1499,279969,100,506
2026-09-19T04:00:16+02:00,HDT7.5,50,3766,3391,123594,100,506
2026-09-19T04:02:22+02:00,HDT6,50,3412,3361,124796,100,506
2026-09-19T04:05:08+02:00,HDT4,50,2591,2569,163344,100,506
2026-09-19T04:08:30+02:00,HDT3,50,2140,2099,199890,100,506
2026-09-19T04:13:11+02:00,HDT2,50,1545,1507,278328,100,506
2026-09-19T04:15:16+02:00,HDT7.5,50,3846,3406,123282,100,506
2026-09-19T04:17:24+02:00,HDT6,50,3380,3347,125343,100,506
2026-09-19T04:20:09+02:00,HDT4,50,2639,2568,163437,100,506
2026-09-19T04:23:33+02:00,HDT3,50,2156,2080,201610,100,506
2026-09-19T04:28:13+02:00,HDT2,50,1513,1513,277266,100,506
2026-09-19T04:30:20+02:00,HDT7.5,50,2848,3337,125578,100,506
2026-09-19T04:32:28+02:00,HDT6,50,3444,3347,125438,100,506
2026-09-19T04:35:12+02:00,HDT4,50,2591,2584,162406,100,506
2026-09-19T04:38:34+02:00,HDT3,50,2108,2098,199875,100,506
2026-09-19T04:43:16+02:00,HDT2,50,1545,1503,279094,100,506
2026-09-19T04:45:20+02:00,HDT7.5,50,3895,3421,122625,100,506
2026-09-19T04:47:27+02:00,HDT6,50,3430,3354,125094,100,506
2026-09-19T04:50:14+02:00,HDT4,50,2623,2560,163859,100,506
2026-09-19T04:53:36+02:00,HDT3,50,2140,2095,200344,100,506
2026-09-19T04:58:17+02:00,HDT2,50,1513,1505,278812,100,506
2026-09-19T05:00:21+02:00,HDT7.5,50,3895,3435,122078,100,506
2026-09-19T05:02:29+02:00,HDT6,50,3380,3342,125500,100,506
2026-09-19T05:05:15+02:00,HDT4,50,2639,2563,163719,100,506
2026-09-19T05:08:36+02:00,HDT3,50,2108,2104,199375,100,506
2026-09-19T05:13:18+02:00,HDT2,50,1513,1500,279703,100,506
2026-09-19T05:15:21+02:00,HDT7.5,50,3863,3469,120828,100,506
2026-09-19T05:17:29+02:00,HDT6,50,3380,3341,125641,100,506
2026-09-19T05:20:15+02:00,HDT4,50,2591,2566,163515,100,506
2026-09-19T05:23:37+02:00,HDT3,50,2140,2101,199657,100,506
2026-09-19T05:28:17+02:00,HDT2,50,1513,1506,278515,100,506
2026-09-19T05:30:22+02:00,HDT7.5,50,3718,3425,122469,100,506
2026-09-19T05:32:30+02:00,HDT6,50,2012,3345,125390,100,506
2026-09-19T05:35:15+02:00,HDT4,50,2639,2566,163515,100,506
2026-09-19T05:38:37+02:00,HDT3,50,2124,2100,199781,100,506
2026-09-19T05:43:18+02:00,HDT2,50,1513,1507,278297,100,506
2026-09-19T05:45:24+02:00,HDT7.5,50,3863,3379,124187,100,506
2026-09-19T05:47:32+02:00,HDT6,50,3396,3342,125578,100,506
2026-09-19T05:50:16+02:00,HDT4,50,2591,2586,162156,100,506
2026-09-19T05:53:39+02:00,HDT3,50,2108,2088,200937,100,506
2026-09-19T05:58:19+02:00,HDT2,50,1545,1511,277609,100,506
2026-09-19T06:00:24+02:00,HDT7.5,50,3750,3415,122937,100,506
2026-09-19T06:02:31+02:00,HDT6,50,3380,3363,124875,100,506
2026-09-19T06:05:16+02:00,HDT4,50,2639,2578,162797,100,506
2026-09-19T06:08:37+02:00,HDT3,50,2140,2101,199625,100,506
2026-09-19T06:13:20+02:00,HDT2,50,1545,1497,280250,100,506
2026-09-19T06:15:24+02:00,HDT7.5,50,3830,3426,122469,100,506
2026-09-19T06:17:32+02:00,HDT6,50,3364,3343,125469,100,506
2026-09-19T06:20:17+02:00,HDT4,50,2655,2581,162578,100,506
2026-09-19T06:23:39+02:00,HDT3,50,2156,2100,199781,100,506
2026-09-19T06:28:19+02:00,HDT2,50,1519,1509,277938,100,506
2026-09-19T06:30:24+02:00,HDT7.5,50,3830,3399,123313,100,506
2026-09-19T06:32:31+02:00,HDT6,50,3396,3361,124953,100,506
2026-09-19T06:35:17+02:00,HDT4,50,2591,2556,164093,100,506
2026-09-19T06:38:39+02:00,HDT3,50,2156,2098,200047,100,506
