# HDT throughput run started 2026-08-21T14:17:49+02:00
# config: virtual_file_size_mb=50 conn_interval_units=40 packet_size_bytes=247 delay=5
timestamp,phy,virtual_file_size_mb,throughput_kbps,avg_throughput_kbps,transfer_time_ms
2026-08-22T18:05:49+02:00,HDT6,50,2342,2310,181566
2026-08-22T18:09:28+02:00,HDT4,50,1952,1928,217637
2026-08-22T18:13:49+02:00,HDT3,50,1639,1614,259883
2026-08-22T18:19:30+02:00,HDT2,50,1249,1232,340449
2026-08-22T18:22:16+02:00,HDT7.5,50,2576,2548,164655
2026-08-22T18:25:19+02:00,HDT6,50,2342,2310,181608
2026-08-22T18:28:59+02:00,HDT4,50,1952,1920,218572
2026-08-22T18:33:20+02:00,HDT3,50,1639,1612,260174
2026-08-22T18:39:02+02:00,HDT2,50,1249,1231,340804
2026-08-22T18:41:49+02:00,HDT7.5,50,2576,2538,165292
2026-08-22T18:44:52+02:00,HDT6,50,2342,2308,181852
2026-08-22T18:48:31+02:00,HDT4,50,1952,1921,218364
2026-08-22T18:52:52+02:00,HDT3,50,1639,1615,259692
2026-08-22T18:58:35+02:00,HDT2,50,1249,1229,341303
2026-08-22T19:01:21+02:00,HDT7.5,50,2576,2538,165296
2026-08-22T19:04:24+02:00,HDT6,50,2342,2308,181704
2026-08-22T19:08:04+02:00,HDT4,50,1952,1917,218738
2026-08-22T19:12:25+02:00,HDT3,50,1639,1614,259825
2026-08-22T19:18:07+02:00,HDT2,50,1249,1230,340901
2026-08-22T19:20:54+02:00,HDT7.5,50,2576,2540,165142
2026-08-22T19:23:57+02:00,HDT6,50,2342,2307,181787
2026-08-22T19:27:36+02:00,HDT4,50,1952,1920,218428
2026-08-22T19:31:57+02:00,HDT3,50,1639,1618,259256
2026-08-22T19:37:39+02:00,HDT2,50,999,1229,341210
2026-08-22T19:40:26+02:00,HDT7.5,50,2576,2538,165323
2026-08-22T19:43:29+02:00,HDT6,50,2342,2303,182105
2026-08-22T19:47:08+02:00,HDT4,50,1952,1927,217656
2026-08-22T19:51:29+02:00,HDT3,50,1639,1614,259894
2026-08-22T19:57:12+02:00,HDT2,50,1249,1230,341006
2026-08-22T19:59:59+02:00,HDT7.5,50,2576,2529,165965
2026-08-22T20:03:02+02:00,HDT6,50,2342,2300,182325
2026-08-22T20:06:41+02:00,HDT4,50,1561,1927,217725
2026-08-22T20:11:02+02:00,HDT3,50,1639,1618,259312
2026-08-22T20:16:44+02:00,HDT2,50,1249,1232,340634
